ID,CodeName,Gender,Age,Educ,BusExp,PrevFound,QFounded,PrevWork,QWorked,PrevPitch,QPrevPitch,ScaleIntent,Rho1,Rho2,StageType,GlobalI1,GlobalE1,GlobalS1,DIF1,DIMI1,DIME1,DIMS1,DIM1,DIMper1,INTI1,INTE1,INTS1,INT1,INTper1,DI1,DIS1,AIper1,GlobalI2,GlobalE2,GlobalS2,DIF2,DIMI2,DIME2,DIMS2,DIM2,DIMper2,INTI2,INTE2,INTS2,INT2,INTper2,DI2,DIS2,AIper2,BalDIMI1,BalDIME1,BalDIMS1,BalDIMI2,BalDIME2,BalDIMS2,DIF1divDIF2,VQ1,VQ2,SQ1,SQ2,BQr1,BQR2,BQa1,BQa2,CQ1,CQ2
32,CollS32,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.860,0.910,5,10,22,18,34,7,15,12,11,32,3,7,6,16,47,5,2,62,6,25,9,32,5,18,9,22,69,1,7,0,8,25,13,2,56,-5,-1,-2,-5,2,-1,106.250,63,29,64.0,32,1.000,1.100,64.0,31.0,65.0,34.0
33,CollS33,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.690,0.760,4,33,13,36,54,22,10,22,12,22,11,3,14,28,52,14,2,56,29,11,30,48,19,10,19,9,19,10,1,11,22,46,11,6,79,-16,0,10,-19,2,-11,112.500,96,42,85.0,37,0.900,0.900,91.0,40.0,101.0,45.0
34,CollS34,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.888,0.908,5,12,21,17,40,11,15,14,5,13,1,6,3,10,25,8,2,60,14,16,11,32,11,12,9,4,13,3,4,2,9,28,3,0,50,-1,-5,-2,-1,-4,5,125.000,57,17,45.0,13,0.800,0.800,51.0,15.0,62.0,19.0
35,CollS35,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.832,0.422,12,18,18,19,40,13,14,13,2,5,5,4,6,15,38,3,2,60,19,54,42,80,21,33,26,19,24,14,21,16,51,64,12,6,73,-3,-8,3,-21,-11,-4,50.000,59,19,156.0,76,2.600,4.000,108.0,48.0,285.0,192.0
36,CollS36,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.912,0.832,5,7,19,14,32,7,14,11,10,31,0,5,3,8,25,7,2,63,19,23,20,46,14,17,15,5,11,5,6,5,16,35,2,2,63,-3,0,-5,-14,1,1,69.565,52,20,69.0,23,1.300,1.200,61.0,22.0,81.0,#NULL!
37,CollS37,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.868,0.884,5,13,25,15,38,10,17,11,13,34,3,8,4,15,39,9,2,61,12,26,9,36,10,18,8,18,50,2,8,1,11,31,13,2,53,-2,-7,1,-6,6,-2,105.556,68,30,67.0,31,1.000,1.000,68.0,31.0,69.0,32.0
38,CollS38,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.970,0.950,3,8,5,6,18,7,5,6,3,17,1,0,0,1,6,2,0,50,8,14,2,20,7,11,2,13,65,1,3,0,4,20,5,0,50,-1,1,0,-7,5,2,90.000,22,4,37.0,17,1.700,4.300,30.0,11.0,50.0,47.0
39,CollS39,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.846,0.744,5,16,20,18,40,12,15,13,5,13,4,5,5,14,35,1,2,53,30,24,29,56,20,17,19,4,7,10,7,10,27,48,3,4,64,-6,1,3,-12,7,-11,71.429,61,21,91.0,35,1.500,1.700,76.0,28.0,113.0,47.0
40,CollS40,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.932,0.838,12,8,9,17,28,7,8,13,11,39,1,1,4,6,21,6,0,50,8,31,18,40,7,20,13,20,50,1,11,5,17,43,16,0,50,1,-2,1,-1,-12,13,70.000,45,17,77.0,37,1.700,2.200,61.0,27.0,104.0,59.0
41,CollS41,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.022,0.468,1,76,56,43,102,43,33,26,27,26,33,23,17,73,72,26,10,84,33,36,54,76,20,24,32,20,26,13,12,22,47,62,19,4,75,-39,-23,-8,-20,12,-30,134.211,212,110,147.0,71,0.700,0.700,180.0,91.0,236.0,123.0
42,CollS42,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.896,0.866,4,14,11,18,34,11,10,13,5,15,3,1,5,9,26,6,0,50,17,7,23,34,11,7,16,14,41,6,0,7,13,38,8,2,53,-3,6,-3,-9,1,6,100.000,48,14,63.0,29,1.300,2.100,56.0,22.0,73.0,46.0
43,CollS43,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.868,0.904,4,17,14,20,38,13,11,14,4,11,4,3,6,13,34,5,2,58,10,22,7,30,8,16,6,18,60,2,6,1,9,30,9,0,50,1,-11,4,2,-2,0,126.667,57,19,57.0,27,1.000,1.400,57.0,23.0,57.0,33.0
44,CollS44,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.950,0.896,5,7,11,9,24,6,9,9,3,13,1,2,0,3,13,3,0,50,12,12,19,32,9,9,14,10,31,3,3,5,11,34,4,0,50,2,-3,1,-9,-1,10,75.000,30,6,53.0,21,1.800,3.500,42.0,14.0,74.0,49.0
45,CollS45,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.920,0.670,2,12,13,9,26,10,9,7,4,15,2,4,2,8,31,4,2,65,29,27,38,62,19,19,24,10,16,10,8,14,32,52,10,4,73,-2,-7,1,-19,-15,6,41.935,40,14,108.0,46,2.700,3.300,74.0,30.0,200.0,99.0
