ID,Type,CodeName,Gender,Age,Educ,BusExp,PrevFound,Qfounded,PrevWorked,Qworked,PrevPitch,QPrevPitch,ScaleIntent,Rho1,Rho2,StageType,GlobalI1,GlobalE1,GlobalS1,DIF1,DIMI1,DIME1,DIMS1,DIM1,DIMper1,INTI1,INTE1,INTS1,INT1,INTper1,DI1,DIS1,AIper1,GlobalI2,GlobalE2,GlobalS2,DIF2,DIMI2,DIME2,DIMS2,DIM2,DIMper2,INTI2,INTE2,INTS2,INT2,INTper2,DI2,DIS2,AIper2,BalDIMI1,BalDIME1,BalDIMS1,BalDIMI2,BalDIME2,BalDIMS2,DIF1divDIF2,VQ1,VQ2,SQ1,SQ2,BQr1,BQr2,BQa1,BQa2,CQ1,CQ2,FQ1,FQ2,CapAction,ZBalDIMI1,ZBalDIME1,ZBalDIMS1,ZBalDIMI2,ZBalDIME2,ZBalDIMS2
7634.,NE,Donata,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.920,0.786,#NULL!,7,6,18,24,5,6,13,15,63,2,0,5,7,29,8,2,54,17,14,42,52,13,12,27,29,56,4,2,15,21,40,24,0,50,0.200,0.333,0.615,0.231,0.250,0.741,46.000,46,24,102,50,2.217,2.083,74.0,37.0,164.1,77.1,43.50,54.00,25.00,-1.43355,0.12830,0.52715,-0.11305,-1.22020,0.71143
7539.,NE,Bob,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.926,0.844,#NULL!,13,9,12,28,11,8,9,5,18,2,1,3,6,21,3,2,57,21,15,20,40,15,12,13,5,13,6,3,7,16,40,5,0,50,0.455,0.125,0.667,0.467,0.500,0.538,70.000,39,13,61,21,1.564,1.615,50.0,17.0,78.2,27.5,23.00,26.50,27.00,-0.23953,-0.89185,0.87072,1.10099,-0.28481,-0.15645
6897.,NE,Jerry,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.953,0.943,#NULL!,14,3,7,22,12,3,7,14,64,2,0,0,2,9,4,0,50,13,9,5,22,9,8,5,5,23,4,1,0,5,23,7,0,50,0.750,0.000,0.286,0.444,0.500,0.600,100.000,38,16,32,10,0.842,0.625,35.0,13.0,29.5,8.1,43.00,22.50,17.00,1.14637,-1.50395,-1.68155,0.98662,-0.28481,0.10758
7566.,NE,William,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.866,0.914,#NULL!,14,13,25,40,12,10,18,14,35,2,3,7,12,30,9,2,55,10,10,14,26,8,8,10,4,15,2,2,4,8,31,4,0,50,0.583,0.200,0.500,0.250,1.000,0.300,153.000,66,28,38,12,0.576,0.429,52.0,20.0,29.9,8.6,37.50,20.50,16.00,0.36458,-0.52460,-0.24590,-0.01408,1.58597,-1.17957
7680.,NE,Mark,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.957,0.852,#NULL!,9,7,6,20,8,6,6,4,20,1,1,0,2,10,1,0,50,9,31,14,38,7,21,10,25,66,2,10,4,16,42,14,2,55,0.500,0.500,0.500,0.000,0.524,0.600,52.000,26,6,81,43,3.115,7.167,53.5,24.5,166.7,175.6,20.00,52.00,28.00,-0.02632,0.94442,-0.24590,-1.30071,-0.19573,0.10758
7483.,NE,David,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.792,0.685,#NULL!,15,26,28,48,11,18,19,9,19,4,8,9,21,44,6,2,60,36,23,34,60,22,16,22,6,10,14,7,12,33,55,9,2,52,0.182,0.278,0.632,0.000,0.750,0.773,80.000,79,32,101,41,1.278,1.281,90.0,36.5,115.1,46.8,33.50,35.00,38.00,-1.51883,-0.14374,0.63564,-1.30071,0.65058,0.84867
7359.,NE,Dalton,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.705,0.858,#NULL!,35,35,15,56,23,23,10,13,23,12,12,5,29,52,7,2,59,12,7,30,38,11,7,20,22,58,1,0,10,11,29,19,0,50,0.304,0.304,0.900,0.273,0.429,0.650,147.000,99,44,71,33,0.717,0.750,85.0,38.5,61.0,28.9,39.50,48.00,18.00,-0.94408,-0.01363,2.43399,0.10288,-0.55207,0.32211
6184.,NE,Trey,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.868,0.862,#NULL!,26,15,6,36,18,12,6,18,50,8,3,0,11,31,13,2,56,16,16,18,36,12,12,12,0,0,4,4,6,14,39,4,0,50,0.444,0.500,0.333,0.250,0.833,0.417,100.000,65,31,50,14,0.769,0.452,57.5,22.5,44.2,10.2,43.00,18.00,24.00,-0.28692,0.94442,-1.36252,-0.01408,0.96238,-0.67901
6185.,NE,Kevin,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.924,0.837,#NULL!,7,4,21,26,6,4,16,22,85,1,0,5,6,23,9,0,50,16,15,24,40,13,12,15,5,13,3,3,9,15,38,12,0,50,0.667,0.250,0.500,0.385,0.000,1.000,65.000,54,28,60,20,1.111,0.714,57.0,24.0,63.3,17.1,55.50,26.50,25.00,0.75548,-0.27976,-0.24590,0.67871,-2.15560,1.82378
6916.,NE,Gene,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.856,0.910,#NULL!,16,11,26,38,12,9,17,13,34,4,2,9,15,39,14,2,58,12,10,17,30,9,8,13,9,30,3,2,4,9,30,3,0,50,0.583,0.000,0.529,0.222,0.875,0.462,126.000,66,30,48,18,0.727,0.600,57.0,24.0,41.5,14.4,36.00,30.00,17.00,0.36458,-1.50395,-0.04885,-0.15704,1.11828,-0.48649
6945.,NE,David,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.920,0.965,#NULL!,5,4,24,26,5,4,17,25,96,0,0,7,7,27,14,0,50,5,6,8,18,5,6,7,3,17,0,0,1,1,6,2,0,50,0.600,0.250,0.529,0.000,0.833,0.571,144.000,58,32,22,4,0.379,0.125,40.0,18.0,15.2,2.3,61.00,17.50,11.00,0.44276,-0.27976,-0.04885,-1.30071,0.96238,-0.01500
6942.,NE,Joe,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.906,0.912,#NULL!,8,10,20,30,7,8,15,15,50,1,2,5,8,27,7,0,50,9,13,17,30,7,10,13,9,30,2,3,4,9,30,3,0,50,0.714,0.125,0.600,0.429,0.300,0.692,100.000,53,23,48,18,0.906,0.783,50.5,20.5,45.7,16.0,40.00,30.00,17.00,0.97885,-0.89185,0.42407,0.90493,-1.03313,0.50363
6900.,NE,Joe,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.932,0.839,#NULL!,8,6,17,26,7,6,13,13,50,1,0,4,5,19,7,2,54,18,21,23,44,13,15,16,4,9,5,6,7,18,41,3,2,59,0.714,0.000,0.538,0.231,0.067,0.875,59.000,44,20,68,24,1.545,1.200,56.0,22.0,86.5,26.4,38.00,26.50,28.00,0.97885,-1.50395,0.01178,-0.11305,-1.90616,1.28747
6894.,NE,shelby,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.947,0.817,#NULL!,6,10,12,26,6,9,11,7,27,0,1,1,2,8,1,0,50,5,19,33,40,5,14,21,23,58,0,5,12,17,43,19,0,50,0.500,0.667,0.364,0.000,0.214,0.810,65.000,35,9,80,40,2.286,4.444,57.5,24.5,131.4,108.9,26.50,49.00,19.00,-0.02632,1.76055,-1.15949,-1.30071,-1.35383,1.00654
7083.,NE,Shelby,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.825,0.932,#NULL!,15,13,33,44,12,10,22,22,50,3,3,11,17,39,16,4,64,8,4,18,24,6,4,14,18,75,2,0,4,6,25,6,0,50,0.750,0.200,0.227,0.167,0.500,0.643,183.000,83,43,48,24,0.578,0.558,65.5,33.5,37.9,18.7,47.00,49.50,10.00,1.14637,-0.52460,-2.07309,-0.44296,-0.28481,0.29146
6619.,NE,Jeff,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.769,0.726,#NULL!,19,29,30,54,13,20,21,9,17,6,9,9,24,44,3,2,54,22,28,32,56,15,19,22,10,18,7,9,10,26,46,4,0,50,0.308,0.450,0.571,0.133,0.684,0.591,96.000,87,35,92,36,1.057,1.029,89.5,35.5,94.6,36.5,35.50,37.00,34.00,-0.92839,0.69959,0.23265,-0.61451,0.40443,0.06858
7529.,NE,Charlie,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.780,0.709,#NULL!,14,19,40,50,10,14,26,28,56,4,5,14,23,46,19,0,50,23,41,25,60,16,26,18,18,30,7,15,7,29,48,16,0,50,0.300,0.571,0.538,0.188,0.731,0.444,83.000,101,51,107,47,1.059,0.922,104.0,49.0,110.2,45.2,53.00,45.00,42.00,-0.96447,1.29419,0.01178,-0.33574,0.57863,-0.55983
6187.,NE,Steve,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.722,0.798,#NULL!,27,25,29,54,18,17,19,3,6,9,8,10,27,50,3,2,63,26,30,12,46,17,20,9,14,30,9,10,3,22,48,8,0,50,0.389,0.118,0.579,0.235,0.550,0.889,117.000,84,32,82,36,0.976,1.125,83.0,34.0,81.0,38.3,30.00,38.00,37.00,-0.54751,-0.92786,0.28303,-0.08977,-0.09773,1.34706
6895.,NE,Randy,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.889,0.835,#NULL!,5,17,21,34,5,14,15,11,32,0,3,6,9,26,9,2,53,19,19,18,40,14,14,12,2,5,5,5,6,16,40,2,0,50,0.800,0.214,0.600,0.214,0.571,0.750,85.000,54,22,58,18,1.074,0.818,56.0,20.0,60.1,16.4,33.00,22.50,28.00,1.38091,-0.45464,0.42407,-0.19789,-0.01756,0.75116
6302.,NE,Karen,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.881,0.918,#NULL!,9,12,25,36,9,10,17,15,42,0,2,8,10,28,14,0,50,11,7,19,30,9,7,14,12,40,2,0,5,7,23,8,0,50,0.778,0.300,0.471,0.333,0.714,0.500,120.000,61,25,49,19,0.803,0.760,55.0,22.0,44.2,16.7,39.00,35.00,16.00,1.27667,-0.03492,-0.44295,0.41479,0.51695,-0.32147
6754.,NE,Kevin,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.860,0.897,#NULL!,14,22,21,42,11,16,15,6,14,3,6,6,15,36,3,2,60,19,15,7,32,13,12,7,7,22,6,3,0,9,28,9,2,59,0.545,0.188,0.533,0.231,0.583,0.429,131.000,63,23,50,18,0.794,0.783,56.5,20.5,44.8,16.0,28.00,27.00,25.00,0.18690,-0.58581,-0.02257,-0.11305,0.02699,-0.62793
6893.,NE,Jeff,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.773,0.934,#NULL!,28,27,14,48,19,18,11,9,19,9,9,3,21,44,6,2,60,12,11,7,26,9,10,7,4,15,3,1,0,4,15,5,0,50,0.211,0.389,0.727,0.222,0.900,0.286,184.000,79,32,34,8,0.430,0.250,56.5,20.0,24.3,5.0,33.50,20.50,19.00,-1.38417,0.40034,1.27676,-0.15704,1.21182,-1.24086
7080.,NE,Jim,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.883,0.755,#NULL!,9,19,19,36,8,14,14,6,17,1,5,5,11,31,4,4,72,14,23,31,46,10,16,20,14,30,4,7,11,22,48,11,2,65,0.875,0.000,0.214,0.600,0.313,0.250,78.000,53,21,84,38,1.585,1.810,68.5,29.5,108.6,53.4,26.50,38.00,26.00,1.73272,-1.50395,-2.16010,1.78719,-0.98636,-1.39409
6388.,NE,Corey,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.827,0.769,#NULL!,11,28,21,42,9,18,15,12,29,2,10,6,18,43,12,0,50,16,26,32,50,12,17,21,13,26,4,9,11,24,48,9,0,50,0.111,0.889,0.267,0.417,0.412,0.619,84.000,72,30,87,37,1.208,1.233,79.5,33.5,96.1,41.3,35.50,38.00,29.00,-1.85051,2.84871,-1.80916,0.84366,-0.61495,0.18931
7245.,NE,Paul,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.939,0.932,#NULL!,7,14,8,24,6,11,7,9,38,1,3,1,5,21,4,0,50,12,12,8,26,9,10,7,4,15,3,2,1,6,23,3,0,50,0.500,0.273,0.857,0.444,0.600,0.429,92.000,38,14,36,10,0.947,0.714,37.0,12.0,35.1,8.6,31.00,20.50,19.00,-0.02632,-0.16847,2.14686,0.98662,0.08935,-0.62793
7215.,NE,Scott,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.906,0.792,#NULL!,8,5,23,28,7,5,16,20,71,1,0,7,8,29,13,2,54,27,15,32,52,19,12,21,11,21,8,3,11,22,42,11,0,50,0.429,0.400,0.500,0.263,0.333,0.810,53.000,56,30,85,33,1.518,1.100,70.5,31.5,107.0,34.7,49.50,36.50,31.00,-0.36137,0.45475,-0.24590,0.05363,-0.90841,1.00654
6921.,NE,Michael,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.937,0.842,#NULL!,11,6,12,24,9,6,9,3,13,2,0,3,5,21,4,0,50,17,22,17,40,12,16,12,8,20,5,6,5,16,40,2,0,50,0.667,0.333,0.444,0.083,0.500,0.917,60.000,32,8,64,24,2.000,3.000,48.0,16.0,96.0,48.0,18.50,30.00,28.00,0.75548,0.12830,-0.61810,-0.87183,-0.28481,1.46624
