Rho1,Rho2,StageType,GlobalI1,GlobalE1,GlobalS1,DIF1,DIMI1,DIME1,DIMS1,DIM1,DIMper1,INTI1,INTE1,INTS1,INT1,INTper1,DI1,DIS1,AIper1,GlobalI2,GlobalE2,GlobalS2,DIF2,DIMI2,DIME2,DIMS2,DIM2,DIMper2,INTI2,INTE2,INTS2,INT2,INTper2,DI2,DIS2,AIper2,BalDIMI1,BalDIME1,BalDIMS1,BalDIMI2,BalDIME2,BalDIMS2,DIF1divDIF2,VQ1,VQ2,SQ1,SQ2,BQr1,BQr2,BQa1,BQa2,CQ1,CQ2
918,896,,7,11,18,28,6,9,13,11,0.39,1,2,5,8,0.29,7,0,0.5,9,7,26,32,8,6,18,22,0.69,1,1,8,10,0.31,14,0,0.5,,,,,,,0.88,47,19,64,32,1.36,1.68,55.5,25.5,75.57,42.95
896,742,,12,11,21,34,10,10,14,8,0.24,2,1,7,10,0.29,11,0,0.5,22,31,33,58,15,21,22,8,0.14,7,10,11,28,0.48,5,0,0.5,,,,,,,0.59,52,18,94,36,1.81,2,73,27,131.96,54
958,954,,5,7,11,20,5,6,9,7,0.35,0,1,2,3,0.15,3,2,0.65,11,7,8,24,9,7,8,3,0.13,2,0,0,2,0.08,4,0,0.5,,,,,,,0.83,32,12,29,5,0.91,0.42,30.5,8.5,27.64,3.54
844,828,,19,20,15,40,14,14,10,2,0.05,5,6,5,16,0.4,2,0,0.5,18,16,24,44,14,10,17,7,0.16,4,6,7,17,0.39,4,0,0.5,,,,,,,0.91,58,18,68,24,1.17,1.33,63,21,73.86,28
830,852,,9,21,25,42,8,14,17,9,0.21,1,7,8,16,0.38,8,2,0.74,18,12,23,38,13,10,15,7,0.18,5,2,8,15,0.39,9,0,0.5,,,,,,,1.11,69,27,60,22,0.87,0.81,64.5,24.5,56.09,19.96
934,894,,8,5,18,26,7,5,14,16,0.62,1,0,4,5,0.19,7,0,0.5,14,12,15,32,11,9,10,4,0.13,3,3,5,11,0.34,4,0,0.5,,,,,,,0.81,47,21,47,15,1,0.71,47,18,47,12.86
950,914,,4,7,14,22,4,7,11,11,0.5,0,0,3,3,0.14,6,0,0.5,12,23,5,32,10,17,5,19,0.59,2,6,0,8,0.25,10,0,0.5,,,,,,,0.69,36,14,59,27,1.64,1.93,47.5,20.5,77.85,39.54
930,716,,10,15,9,30,9,12,9,6,0.2,1,3,0,4,0.13,5,2,0.53,10,35,23,54,7,17,15,36,0.67,3,18,8,29,0.54,25,2,0.56,,,,,,,0.56,42,12,121,67,2.88,5.58,81.5,39.5,234.8,220.54
908,864,,8,14,17,30,7,11,12,6,0.2,1,3,5,9,0.3,6,0,0.5,21,20,16,42,15,15,12,3,0.07,6,5,4,15,0.36,3,0,0.5,,,,,,,0.71,45,15,60,18,1.33,1.2,52.5,16.5,70,19.8
896,868,,10,10,22,32,8,9,15,13,0.41,2,1,7,10,0.31,11,0,0.5,10,27,10,36,7,19,8,21,0.58,3,8,2,13,0.36,11,0,0.5,,,,,,,0.89,55,23,70,34,1.27,1.48,62.5,28.5,79.55,42.13
852,740,,5,10,36,38,5,9,24,34,0.89,0,1,12,13,0.34,23,4,0.82,23,29,22,50,14,19,15,7,0.14,9,10,7,26,0.52,4,2,0.58,,,,,,,0.76,89,51,85,35,0.96,0.69,87,43,83.09,29.51
912,918,,15,8,18,34,12,8,14,8,0.24,3,0,4,7,0.21,5,0,0.5,15,14,9,30,11,11,8,3,0.1,4,3,1,8,0.27,4,0,0.5,,,,,,,1.13,49,15,41,11,0.84,0.73,45,13,37.65,9.53
916,956,,9,10,16,26,7,8,11,7,0.27,2,2,5,9,0.35,6,0,0.5,10,9,4,20,8,8,4,4,0.2,2,1,0,3,0.15,3,0,0.5,,,,,,,1.3,42,16,27,7,0.64,0.44,34.5,11.5,22.18,5.03
936,784,,5,13,12,26,5,11,10,7,0.27,0,2,2,4,0.15,2,0,0.5,16,28,27,48,11,19,18,9,0.19,5,9,9,23,0.48,4,0,0.5,,,,,,,0.54,37,11,80,32,2.16,2.91,58.5,21.5,126.49,62.55
750,932,,15,23,32,56,13,16,17,25,0.45,2,7,15,24,0.43,21,4,0.61,8,9,15,28,8,8,12,8,0.29,0,1,3,4,0.14,5,0,0.5,,,,,,,2,109,53,40,12,0.37,0.23,74.5,32.5,27.34,7.36
952,886,,5,9,9,20,5,7,8,4,0.2,0,2,1,3,0.15,3,0,0.5,12,16,15,32,9,12,10,4,0.13,3,4,5,12,0.38,3,0,0.5,,,,,,,0.63,27,7,48,16,1.78,2.29,37.5,11.5,66.67,26.29
900,856,,13,9,19,32,11,8,13,7,0.22,2,1,6,9,0.28,9,0,0.5,6,22,24,36,5,15,16,12,0.33,1,7,8,16,0.44,8,0,0.5,,,,,,,0.89,48,16,64,28,1.33,1.75,56,22,74.67,38.5
958,812,,6,8,8,20,5,8,7,4,0.2,1,0,1,2,0.1,1,0,0.5,25,8,26,42,17,7,17,12,0.29,8,1,9,18,0.43,9,0,0.5,,,,,,,0.48,26,6,72,30,2.77,5,49,18,135.69,90
942,830,,8,5,15,24,7,5,12,12,0.5,1,0,3,4,0.17,5,0,0.5,19,14,22,42,14,11,14,9,0.21,5,3,8,16,0.38,8,0,0.5,,,,,,,0.57,40,16,67,25,1.68,1.56,53.5,20.5,89.61,32.03
892,812,,16,5,14,26,10,5,10,7,0.27,6,0,4,10,0.38,8,2,0.69,16,25,28,48,11,18,19,9,0.19,5,7,9,21,0.44,6,0,0.5,,,,,,,0.54,45,19,78,30,1.73,1.58,61.5,24.5,106.6,38.68
756,946,,29,20,21,52,17,13,15,14,0.27,12,7,6,25,0.48,11,2,0.58,9,9,9,22,7,8,7,2,0.09,2,1,2,5,0.23,1,0,0.5,,,,,,,2.36,93,41,29,7,0.31,0.17,61,24,19.02,4.1
908,924,,6,16,18,30,5,12,13,9,0.3,1,4,5,10,0.33,5,0,0.5,10,10,14,28,9,8,11,5,0.18,1,2,3,6,0.21,3,0,0.5,,,,,,,1.07,49,19,39,11,0.8,0.58,44,15,35.02,8.68
