ID,Type,CodeName,Gender,Age,Educ,BusExp,PrevFound,QFounded,PrevWorked,QWorked,PrevPitch,QPrevPitch,ScaleIntent,Rho1,Rho2,StageType,GlobalI1,GlobalE1,GlobalS1,DIF1,DIMI1,DIME1,DIMS1,DIM1,DIMper1,INTI1,INTE1,INTS1,INT1,INTper1,DI1,DIS1,AIper1,GlobalI2,GlobalE2,GlobalS2,DIF2,DIMI2,DIME2,DIMS2,DIM2,DIMper2,INTI2,INTE2,INTS2,INT2,INTper2,DI2,DIS2,AIper2,BalDIMI1,BalDIME1,BalDIMS1,BalDIMI2,BalDIME2,BalDIMS2,DIF1divDIF2,VQ1,VQ2,SQ1,SQ2,BQr1,BQR2,BQa1,BQa2,CQ1,CQ2,FQ1,FQ2,CapAction
50,E,R032RG,1,26,3,4,0,0,0,0,0,0,1,0.890,0.906,6,8,13,26,36,7,11,18,18,50,1,2,8,11,31,13,2,58,6,19,16,34,6,15,13,11,32,0,4,3,7,21,5,0,50,-1,1,-6,2,-11,9,105.882,67,31,52.0,18,0.800,0.600,60.0,25.0,73.0,36.0,43.00,33.00,21.00
51,E,R033RG,2,51,3,3,0,0,0,0,0,0,1,0.948,0.888,6,2,9,16,24,2,9,13,15,63,0,0,3,3,13,6,2,54,10,15,16,30,8,11,11,3,10,2,4,5,11,37,4,0,50,2,-3,-1,-4,-5,9,80.000,44,20,44.0,14,1.000,0.700,44.0,17.0,44.0,22.0,43.50,20.00,19.00
52,E,R034RG,1,34,3,5,0,0,0,0,0,0,1,0.882,0.864,5,10,25,12,38,10,17,11,13,34,0,8,1,9,24,15,0,50,16,10,23,36,11,9,16,12,33,5,1,7,13,36,8,0,50,0,-3,3,-11,-5,16,105.556,60,22,61.0,25,1.000,1.100,61.0,24.0,62.0,27.0,36.00,34.50,20.00
53,E,R035RG,1,59,3,15,1,1,1,1,0,0,1,0.896,0.776,4,16,5,23,34,13,5,16,14,41,3,0,7,10,29,11,2,56,12,27,32,50,11,18,21,13,26,1,9,11,21,42,12,0,50,1,-1,-4,-5,-2,7,68.000,60,26,84.0,34,1.400,1.300,72.0,30.0,101.0,39.0,37.50,38.00,29.00
54,E,R036RG,2,28,3,7,0,0,0,0,0,0,0,0.966,0.848,5,3,10,6,18,3,9,6,9,50,0,1,0,1,6,2,0,50,17,21,22,44,13,15,16,4,9,4,6,6,16,36,2,0,50,-3,3,0,-11,9,2,40.900,28,10,64.0,20,2.300,2.000,46.0,15.0,105.0,30.0,34.00,26.50,28.00
55,E,R037RG,1,26,4,6,0,0,0,0,1,2,1,0.894,0.730,5,11,19,12,32,9,14,9,10,31,2,5,3,10,31,5,0,50,28,30,27,58,20,20,18,2,3,8,10,9,27,47,3,2,60,1,-6,5,-8,-6,2,55.172,52,20,89.0,31,1.700,1.600,71.0,26.0,121.0,40.0,31.50,30.50,40.00
56,E,R038RG,1,29,4,5,0,0,0,0,0,0,0,0.928,0.762,6,8,11,17,30,7,10,13,9,30,1,1,4,6,20,6,0,50,20,30,25,50,14,20,16,10,20,6,10,9,25,50,5,2,58,1,2,-3,-4,-14,10,60.000,45,15,87.0,37,1.900,2.500,66.0,26.0,127.0,64.0,30.00,35.00,34.00
57,E,R039RG,1,25,1,6,0,0,0,0,1,25,1,0.886,0.884,5,14,19,15,38,11,15,12,7,18,3,4,3,10,26,2,4,71,18,19,12,38,13,14,11,4,11,5,5,1,11,29,4,2,58,1,-11,-6,-7,2,-1,100.000,59,21,55.0,17,0.900,0.800,57.0,19.0,61.0,23.0,28.00,24.50,27.00
58,E,R040RG,1,22,1,6,1,1,0,0,0,0,1,0.932,0.946,6,5,12,17,30,5,11,14,12,40,0,1,3,4,13,5,0,50,9,3,15,22,7,3,12,14,64,2,0,3,5,23,4,0,50,3,1,-4,-3,-3,6,136.364,46,16,41.0,19,0.900,1.200,44.0,18.0,49.0,21.0,35.00,43.00,10.00
59,E,R041RG,1,30,3,7,0,0,0,0,0,0,1,0.862,0.910,9,19,18,18,42,14,14,14,0,0,5,4,4,13,31,2,2,57,12,10,16,30,9,9,12,6,20,3,1,4,8,27,4,0,50,-4,-4,2,-5,1,4,140.000,57,15,44.0,14,0.800,0.900,51.0,15.0,63.0,16.0,21.00,25.00,18.00
